INFO:root:{'target': np.float64(0.723106445422734), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6874128125335336), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6976693530821172), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6679874869655892), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7076107367723407), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6901529842706313), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6399600399600399), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6943420767396489), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6630783562778181), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.662666804592945), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6602081830361743), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7058953168044078), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.6659735939286828), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7235965209533491), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.6877079978529254), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7230248306997743), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7201798763350197), 'params': {'gamma': 0.025, 'nu': 0.1}}
